actinic keratoses and intraepithelial carcinoma,basal cell carcinoma,benign keratosis-like lesions,dermatofibroma,melanoma,melanocytic nevi,vascular lesions,target-0,instance_id
24.801311,30.299763,28.482891,28.279882,28.556393,28.758808,31.62376,0.0,0
24.501114,27.61324,30.665617,24.79761,24.926186,24.883797,29.08236,5.0,1
22.647474,27.301567,34.26371,31.061718,28.591595,32.676178,29.132662,5.0,2
22.824877,26.653902,35.216713,27.956444,30.165512,37.278717,29.951376,5.0,3
21.952585,25.315172,28.841728,28.435452,28.378384,31.802616,23.967901,4.0,4
20.612616,22.330364,31.628956,28.305986,25.355116,32.552795,27.700325,5.0,5
25.876928,27.857096,28.206242,26.269537,26.745487,31.853502,28.372374,4.0,6
26.123888,29.369347,33.655273,27.893623,30.460386,30.648422,27.332434,5.0,7
23.483204,27.699677,31.407066,29.319225,30.604599,37.87016,26.869019,5.0,8
24.475885,29.143679,32.972324,27.35995,28.169827,33.29353,26.305986,5.0,9
20.342419,22.475609,27.104698,23.981638,22.445175,29.619576,25.508642,2.0,10
22.97062,25.04683,33.91066,29.965467,27.79315,34.553524,28.509296,5.0,11
18.823019,25.83025,20.015413,26.211193,27.658974,23.882702,27.507984,1.0,12
20.769573,28.774578,26.342056,25.205162,27.087997,34.83185,27.523302,5.0,13
18.628647,22.990417,25.362965,23.365307,23.319014,28.589851,25.78343,4.0,14
23.175102,26.041153,26.821163,24.508993,25.027231,26.497185,25.388294,5.0,15
23.487337,25.02652,29.092607,23.8346,26.015078,27.04426,27.894964,2.0,16
16.529215,22.470745,27.408634,29.235168,27.727821,34.860394,26.176283,5.0,17
22.804432,24.942112,30.306307,28.948053,27.43629,31.707853,27.437862,5.0,18
26.217594,28.598026,30.075272,28.36947,27.00834,30.424635,30.073765,5.0,19
24.773787,29.327087,29.198206,25.862522,26.04249,23.027637,31.301176,5.0,20
21.368658,25.61159,31.45635,23.468687,27.239176,32.478184,27.676195,5.0,21
23.63906,26.210762,32.32851,30.879889,25.930426,28.75547,30.125572,5.0,22
23.805826,25.624405,29.183805,28.868666,27.911827,30.559076,27.137733,6.0,23
20.606186,25.074646,26.155577,25.177061,26.22739,28.550371,24.505402,2.0,24
20.794472,26.160315,27.419155,22.341269,25.130121,28.099394,24.989227,5.0,25
24.128979,27.089048,33.44802,26.88159,26.843006,30.574404,27.692055,5.0,26
10.976778,13.840964,17.44734,20.800964,17.865395,26.350922,18.89467,5.0,27
22.341291,24.661789,30.549038,29.543047,27.206753,35.119236,26.433855,5.0,28
22.956713,24.173567,29.090025,22.779799,21.785963,25.660206,25.498213,5.0,29
14.12709,20.226328,25.313656,20.519436,22.665724,29.538757,27.387508,2.0,30
18.087847,20.999659,25.087051,20.477758,21.809406,26.779776,23.455267,4.0,31
24.68706,29.505642,31.397459,27.617239,30.693045,31.988413,27.883429,5.0,32
21.291176,28.799599,28.173244,30.853071,29.475529,28.516523,28.465708,1.0,33
22.222942,24.673815,29.726173,28.538713,25.529726,29.633585,31.148952,5.0,34
24.149054,30.467825,28.961784,28.957243,31.298826,37.923447,24.004961,4.0,35
23.982525,31.8627,30.253477,31.967447,35.3515,41.079746,25.166916,5.0,36
20.359444,18.82624,26.886726,20.922615,19.018473,22.218174,26.790182,4.0,37
20.841377,24.854788,29.792837,24.938059,25.851944,31.533815,24.602165,5.0,38
21.880169,23.893312,26.75554,25.067194,24.089714,27.102888,29.01055,4.0,39
24.018536,24.002832,27.418783,24.254559,23.622381,25.722155,26.280807,5.0,40
22.53528,25.363504,32.471207,29.134466,29.17132,33.20445,26.5021,5.0,41
25.717665,29.482672,31.326666,28.752554,30.555578,32.688526,28.230892,5.0,42
19.807432,21.103962,26.336723,23.533241,23.122444,29.163897,22.680563,2.0,43
23.048927,26.565138,30.767572,30.15707,27.544209,34.891117,34.214672,2.0,44
15.79447,20.7777,26.2769,22.477829,24.428926,31.820192,23.825142,5.0,45
21.780153,24.294952,28.649004,27.433271,29.344707,31.919294,22.9412,5.0,46
26.020576,29.476988,31.495035,26.554897,26.170515,27.14533,29.39984,2.0,47
27.959675,30.099361,35.177856,33.629128,32.042877,35.70948,28.872133,5.0,48
20.884432,23.488861,29.751055,29.310461,27.165585,33.47356,28.651917,6.0,49
24.877329,26.901047,28.466686,25.080475,25.777695,31.54676,26.761799,4.0,50
18.085657,21.643751,25.25471,25.347092,23.121935,24.378801,30.08376,5.0,51
24.81636,31.53478,30.53738,29.002201,32.176495,34.07277,25.053394,5.0,52
18.169384,25.288818,23.172043,25.166243,27.44266,32.98761,22.36489,5.0,53
24.346483,27.590984,33.90992,30.134344,27.920713,29.364317,30.707985,5.0,54
19.046953,21.340729,28.588785,23.655005,22.804226,29.258093,30.493683,2.0,55
19.768843,24.793993,29.220552,28.238703,27.728405,31.974955,23.379395,5.0,56
22.195751,25.266687,26.852089,27.26001,28.76824,34.999187,27.526224,4.0,57
22.246317,28.896246,25.954496,24.343609,28.095568,31.011026,27.495274,5.0,58
20.596495,24.41173,28.048952,27.00352,27.22076,32.15144,27.56052,5.0,59
20.049192,20.771585,27.951405,18.991714,21.452082,26.68197,26.853,4.0,60
25.885363,29.221615,29.57929,26.956114,29.935173,35.51668,26.060598,5.0,61
26.847511,27.955614,28.655655,24.029829,27.08775,25.266808,27.206411,5.0,62
21.463106,24.85598,30.757343,26.792986,25.61151,31.053875,27.122591,1.0,63
19.78418,21.149305,27.293047,24.531485,23.79369,28.174076,27.53747,0.0,64
19.438385,26.343273,29.632454,28.001253,28.750952,36.685112,26.22082,5.0,65
28.688213,27.94762,33.732594,25.429335,27.520754,29.7337,29.11703,0.0,66
24.420769,25.404606,32.208214,26.96418,26.267197,31.629354,30.604748,3.0,67
26.006054,27.624577,28.90846,23.506712,24.72119,26.426756,30.365026,0.0,68
25.092915,31.727127,32.629505,32.256115,32.051357,36.9174,29.009518,5.0,69
22.662382,26.742693,35.504086,27.818108,28.002903,30.510115,28.784739,5.0,70
24.920319,29.377361,30.756548,26.241707,26.079208,28.672981,29.631973,2.0,71
23.705309,28.2842,31.646013,28.117706,29.403828,31.625996,27.350016,0.0,72
25.91077,26.154016,32.477383,29.881914,27.265408,30.590004,28.929327,5.0,73
19.973286,25.192135,27.63546,18.857716,21.668577,30.37444,25.938526,5.0,74
24.540445,27.9131,32.448223,24.992033,28.619104,34.856018,28.501986,5.0,75
23.512472,30.408005,28.893364,27.842707,27.29113,29.95929,27.24219,5.0,76
25.496693,29.10865,28.69252,27.17148,29.155703,34.007164,26.28101,5.0,77
23.751143,26.349443,32.574505,28.157673,27.602833,32.533203,26.512733,5.0,78
20.21638,23.541689,28.312195,28.390125,25.447819,32.236507,27.655088,5.0,79
26.833118,27.696514,28.537897,28.208351,31.615282,36.2276,24.213993,5.0,80
24.740974,29.175339,26.324594,22.3038,24.468588,25.494898,27.832739,5.0,81
24.118221,30.76558,31.48777,31.318888,33.23182,38.740902,27.258986,5.0,82
24.066637,25.971241,25.094152,24.750626,27.21568,31.733047,22.984783,5.0,83
23.75289,29.257456,33.81185,32.289204,30.86689,34.191387,31.049292,5.0,84
29.26896,29.869509,32.09222,23.585056,28.268734,25.358442,29.659956,5.0,85
24.037617,27.217752,26.796911,25.347376,27.671402,31.88113,25.142189,4.0,86
21.091267,22.058943,28.965302,23.966583,20.825361,24.029259,28.105492,2.0,87
18.134588,24.183208,25.157042,24.503721,26.294283,32.124153,25.921701,5.0,88
19.679775,21.993862,25.439138,22.98601,23.10618,27.389559,22.673897,2.0,89
20.393341,22.626822,27.824812,18.115582,20.790049,23.720377,26.671576,4.0,90
21.542383,22.309565,27.385645,21.06868,24.451998,34.65696,27.052973,0.0,91
28.482346,29.820719,34.47602,29.111887,27.940325,29.979534,28.748848,5.0,92
25.263536,29.82797,27.35469,28.882511,28.151287,28.31319,28.226307,1.0,93
24.299185,27.168951,27.44017,22.047255,24.849405,21.093473,24.742363,5.0,94
21.98393,24.037432,30.860952,29.054678,26.702322,32.278557,31.585226,4.0,95
24.949541,27.538933,32.16442,28.517794,28.636269,32.703648,27.827007,5.0,96
19.970976,22.432034,29.386538,27.314222,25.295622,30.625942,28.22359,5.0,97
19.551664,23.98293,29.106382,30.292849,26.774382,30.472885,29.249788,6.0,98
20.923904,24.07294,32.02281,27.84574,29.282034,33.840332,25.625137,5.0,99
25.124107,27.109194,24.345772,26.776014,28.140728,29.432028,24.948088,2.0,100
20.92554,25.020826,30.069296,23.893177,24.459562,29.476559,26.313787,5.0,101
19.939655,23.606153,30.213257,29.391558,27.969614,33.075397,27.886093,5.0,102
20.909967,26.505648,28.71924,27.617287,27.903862,32.17983,27.980488,5.0,103
23.750391,25.84289,28.287348,27.152002,27.158875,31.08663,28.326813,1.0,104
15.562443,19.07002,18.774265,21.273333,19.756977,28.613014,23.242512,5.0,105
22.244438,23.384903,27.132662,18.99003,21.035944,19.813824,28.399769,5.0,106
26.109247,31.113926,30.721355,31.664278,32.095287,31.30448,27.401613,5.0,107
25.893682,28.617014,33.15403,27.989012,29.53987,34.48661,30.934006,4.0,108
18.33713,19.865856,24.392168,19.412922,24.843239,26.938097,23.951374,5.0,109
20.03957,24.54758,26.840513,21.08759,23.129328,25.702742,23.620018,2.0,110
22.165577,24.038256,28.264185,28.25642,27.613127,32.39019,23.555853,2.0,111
23.274467,28.45783,34.261616,32.48949,29.504148,35.017563,29.656889,5.0,112
19.132807,23.627436,23.764753,23.916222,23.998661,25.630684,23.512594,5.0,113
18.955847,24.16424,29.268665,22.575005,27.255667,33.157566,28.138668,4.0,114
17.044516,21.494383,26.523233,21.614561,22.297134,28.090628,22.434597,5.0,115
25.690454,30.565563,32.63563,31.028345,32.418816,36.744415,29.480124,2.0,116
24.03595,28.221815,33.075222,26.298088,28.536388,31.160114,28.217546,5.0,117
27.071463,30.30071,35.567944,29.682827,28.574816,30.080717,28.401918,5.0,118
20.273212,22.421228,28.576195,25.130802,27.549347,35.67797,30.443594,5.0,119
27.024807,27.901985,26.973803,25.334799,28.907673,25.663256,23.71862,5.0,120
24.369892,23.381643,32.13474,25.133934,25.93915,30.965174,26.921692,2.0,121
22.835512,29.885782,26.869633,26.134846,28.963102,32.74376,26.268139,5.0,122
20.357811,23.545877,30.67863,26.322811,25.163914,27.68761,25.410778,5.0,123
23.135138,28.91574,29.680122,27.956923,30.540594,37.878635,26.238092,4.0,124
19.680416,22.12608,21.2108,19.31444,21.702085,26.65598,27.719141,4.0,125
28.662905,32.463646,31.312521,31.844448,32.70865,35.190636,28.756021,5.0,126
23.40064,28.014442,34.97656,32.61831,28.863775,34.83989,28.099434,5.0,127
