飞机,汽车,鸟,猫,鹿,狗,青蛙,马,船,卡车,target-0,target-1,target-2,target-3,target-4,target-5,target-6,target-7,target-8,target-9,instance_id
21.832243,20.201761,22.742735,22.680864,22.176098,21.865059,21.87547,21.3918,22.725958,20.639853,0.0,0.019607844,0.019607844,0.9411765,0.0,0.019607844,0.0,0.0,0.0,0.0,0
22.29086,22.621855,22.926434,20.263393,22.218342,21.159285,22.079914,22.282759,23.12367,23.604969,0.0,0.0,0.019607844,0.0,0.0,0.0,0.0,0.0,0.98039216,0.0,1
21.729588,22.24909,22.757488,20.579514,21.82397,21.04017,21.730906,21.905561,22.682835,22.253492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
21.934137,19.903116,21.600807,21.021193,21.544662,22.007673,21.0465,20.697634,22.079657,20.47963,0.74509805,0.0,0.15686275,0.0,0.019607844,0.0,0.019607844,0.0,0.039215688,0.019607844,3
24.080164,20.472523,23.787521,22.767736,24.130095,23.818184,23.999449,23.106136,24.55365,22.07172,0.0,0.0,0.019607844,0.0,0.0,0.0,0.98039216,0.0,0.0,0.0,4
23.897223,20.8184,24.174686,26.400263,23.966364,24.84102,23.812815,22.774004,24.534393,22.300821,0.0,0.0,0.0,0.1509434,0.0,0.0,0.8490566,0.0,0.0,0.0,5
22.807028,25.498203,23.405344,20.418589,23.395197,22.356304,22.955416,22.360907,24.121702,25.065407,0.0,0.9807692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01923077,6
23.863668,21.867275,24.548365,23.827114,24.264494,24.559021,24.126757,22.93611,24.608131,22.656559,0.0,0.0,0.02,0.0,0.0,0.0,0.98,0.0,0.0,0.0,7
23.998516,21.52956,24.746859,28.127012,24.39015,25.01798,23.809332,23.552458,24.762487,22.605276,0.0,0.0,0.0,0.98039216,0.0,0.019607844,0.0,0.0,0.0,0.0,8
22.313116,24.046268,23.262413,21.374191,23.031162,22.008778,22.392685,22.120636,23.594103,24.334631,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,9
24.414856,22.57528,24.28125,21.972784,24.006216,23.83863,23.682646,23.776825,24.33162,24.208311,0.98214287,0.017857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
19.949972,22.682196,20.934605,18.872189,20.557081,19.735489,19.828802,20.378716,21.293512,22.835485,0.0,0.019607844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98039216,11
22.203398,19.840187,23.21662,23.88603,22.383081,23.665113,22.130867,21.722008,23.11912,21.157944,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12
22.645279,19.155842,23.298243,21.889368,22.605808,22.833897,21.989887,21.60416,23.112003,20.023127,0.0,0.0,0.0,0.0,0.019607844,0.0,0.0,0.98039216,0.0,0.0,13
20.794483,23.797543,21.583586,20.167238,20.907978,20.2053,20.631842,20.982079,21.771765,23.130283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
23.483372,22.029322,24.098621,22.23216,23.497156,22.678024,23.534445,22.986408,24.031773,22.892328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,15
23.5295,20.66133,24.364923,23.043585,23.995583,25.796429,23.394142,23.223923,24.702732,21.998354,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16
23.322275,22.665922,23.6533,21.953327,23.26709,23.266657,22.719057,22.045977,23.654547,22.780573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17
23.15738,21.09443,24.059704,20.767883,22.770851,21.764793,23.110247,23.043001,23.764103,22.22653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18
24.477045,21.012346,24.817987,24.115108,24.50048,24.111103,24.531197,23.321465,24.712948,22.101475,0.0,0.0,0.0,0.020408163,0.0,0.0,0.97959185,0.0,0.0,0.0,19
23.716211,22.57528,24.245625,22.952913,23.912767,23.380653,23.18248,23.09529,24.00866,23.172863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20
23.76294,22.488426,24.068571,22.300907,23.905497,23.391998,23.779684,22.485323,24.410393,22.83331,0.82,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
23.29586,20.234056,22.797964,21.304117,23.19062,23.219044,22.641647,22.169292,23.373598,21.127697,0.0,0.0,0.0,0.0,0.88235295,0.0,0.09803922,0.019607844,0.0,0.0,22
22.14085,24.140759,23.04473,20.099876,22.322891,21.3276,22.14402,22.239979,23.156908,24.646835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23
23.526003,20.122633,24.15427,23.233027,23.836845,25.924686,23.210651,23.091515,24.35696,21.677399,0.0,0.0,0.019607844,0.0,0.0,0.9607843,0.019607844,0.0,0.0,0.0,24
23.60029,21.967463,24.07094,23.02517,23.745901,23.603897,23.492258,23.289782,24.310513,23.028942,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
23.693363,21.63271,23.859604,23.025322,24.039406,23.86496,23.520903,22.685087,24.053202,22.18513,0.0,0.0,0.0,0.019607844,0.9411765,0.019607844,0.0,0.019607844,0.0,0.0,26
24.840855,23.15359,25.803354,22.22199,25.047672,24.472706,24.939302,24.355286,25.600948,24.282936,0.96153843,0.01923077,0.0,0.0,0.0,0.0,0.0,0.0,0.01923077,0.0,27
21.094639,23.50655,21.845243,20.151922,21.509785,20.718813,21.0539,20.960491,22.19257,23.055548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
23.420492,20.345358,23.74563,22.772377,23.451754,23.132341,23.086067,22.08948,23.893621,21.583597,0.0,0.0,0.01923077,0.0,0.0,0.0,0.9807692,0.0,0.0,0.0,29
23.45362,21.560722,23.654928,23.381474,23.54247,22.952204,23.66548,22.75987,23.885246,22.394567,0.0,0.0,0.0,0.0,0.0,0.018867925,0.9811321,0.0,0.0,0.0,30
