actinic keratoses and intraepithelial carcinoma,basal cell carcinoma,benign keratosis-like lesions,dermatofibroma,melanoma,melanocytic nevi,vascular lesions,target-0,instance_id
26.24176,24.762728,26.704042,27.258625,27.062782,27.138405,26.056742,0.0,0
28.52069,27.121822,29.158905,28.471027,29.115751,27.947935,27.920593,5.0,1
29.33018,28.01274,29.19681,27.78842,29.98916,29.319008,27.766224,5.0,2
28.051554,27.012571,28.735495,28.110744,27.732273,27.268099,26.936789,5.0,3
29.537344,29.772326,29.580402,29.46857,30.81175,29.592588,27.662386,4.0,4
30.503746,29.108776,29.576609,29.27626,31.83399,30.850336,27.862396,5.0,5
27.871262,24.755913,26.501064,27.18281,28.178062,29.520403,26.790424,4.0,6
26.119223,24.754196,26.166525,26.688583,27.08207,26.794388,25.374044,5.0,7
31.014381,30.297646,30.90866,30.254385,33.936325,29.347815,27.942627,5.0,8
27.48695,25.820204,27.672588,27.346542,28.162273,27.606283,26.927408,5.0,9
27.621239,25.559643,28.30132,28.240824,29.174435,27.544987,25.960453,2.0,10
24.26342,23.152603,24.53859,24.899986,24.603657,25.087826,24.105677,5.0,11
25.989323,23.259726,25.272532,26.068611,24.254425,26.251238,25.773119,1.0,12
27.44187,26.00322,27.836283,27.090338,26.805033,27.189568,26.702442,5.0,13
27.679144,25.456106,26.814198,27.616402,30.031593,28.593458,25.259434,4.0,14
26.951178,23.764301,26.037119,26.998335,26.7819,28.745436,26.93341,5.0,15
27.672525,25.57966,27.050066,27.577295,26.99279,27.830952,25.666998,2.0,16
26.845224,26.9459,27.56687,27.604504,29.073212,26.386797,25.337713,5.0,17
28.411257,27.367928,28.151472,27.38814,28.764212,27.854847,26.874077,5.0,18
27.417583,25.407349,27.021198,27.701649,27.530867,28.888979,28.100096,5.0,19
24.780548,22.736506,24.835783,25.697332,25.093006,25.328033,24.449417,5.0,20
26.342812,24.608072,26.645878,27.236595,26.725586,26.047209,25.65143,5.0,21
28.552704,27.837788,28.337702,27.614777,28.65428,28.247778,27.023142,5.0,22
28.969904,27.825485,28.764668,27.955359,28.893095,27.994513,26.94944,6.0,23
27.26056,26.375307,27.503544,28.383984,28.896114,27.396517,25.419312,2.0,24
29.345613,27.912306,28.725042,29.76058,30.897291,30.477446,28.243937,5.0,25
26.348528,24.7769,26.478132,26.744017,26.023966,27.172213,26.397478,5.0,26
24.081568,21.543596,24.302105,27.80588,26.863974,25.851263,24.21847,5.0,27
24.293118,22.752218,24.682909,24.849194,24.665598,25.306301,23.48824,5.0,28
26.995712,24.441528,26.821245,27.260485,26.784454,26.960926,26.005259,5.0,29
25.592476,24.002283,26.0384,26.850739,25.861366,25.236204,24.468748,2.0,30
27.768816,26.818384,28.2473,28.135197,28.729513,27.770483,25.895481,4.0,31
30.176027,28.89716,29.81157,28.971004,31.258741,31.478184,29.139524,5.0,32
29.972115,29.134096,30.067959,29.158463,30.313635,28.330359,27.472317,1.0,33
26.641947,24.115747,26.56398,26.537588,29.144703,27.25956,24.64506,5.0,34
26.850273,26.209312,27.111032,27.306955,28.382437,27.937632,25.657284,4.0,35
28.572454,27.61683,28.067394,26.974043,30.012714,27.857002,26.395592,5.0,36
27.088808,25.591557,26.2358,26.993574,26.905306,26.405962,24.87844,4.0,37
27.98462,27.274075,27.979883,27.907793,29.102434,27.83901,25.937616,5.0,38
25.833128,23.23117,25.786896,26.081669,24.2433,24.714294,24.606838,4.0,39
26.428917,23.983803,25.743864,26.428282,26.764338,28.03673,25.723036,5.0,40
28.568663,27.368536,28.349474,26.921816,27.812603,28.242144,27.729591,5.0,41
30.454956,28.540707,29.969587,28.950623,29.747116,30.222853,29.115269,5.0,42
26.422562,25.964373,27.19926,28.856783,28.67655,28.176498,26.29922,2.0,43
27.700638,25.143438,27.292585,28.796774,26.974352,26.994854,26.714535,2.0,44
28.210218,26.784126,27.977686,28.125708,28.983627,27.484144,26.168646,5.0,45
28.206264,27.066883,28.682922,27.595367,28.104692,27.147778,26.593676,5.0,46
25.967855,24.188278,26.332882,26.69449,26.136192,25.70275,25.477152,2.0,47
29.091003,28.364368,29.451742,28.457394,29.40579,29.82961,28.048693,5.0,48
26.872091,26.278376,26.60983,27.365282,29.931402,27.726309,24.641344,6.0,49
26.230083,24.237959,25.73051,27.348654,28.773674,27.568825,25.341946,4.0,50
23.362919,20.598959,23.452038,24.567785,22.142067,24.117073,23.175613,5.0,51
26.606142,25.108234,26.489073,26.725357,26.367035,26.653265,26.347124,5.0,52
26.753988,24.182734,25.885283,26.725183,28.997856,27.039991,23.908285,5.0,53
27.948673,26.928066,28.183022,27.32042,27.52949,27.610527,27.432215,5.0,54
26.132086,24.47598,25.813778,26.794477,25.423655,25.65187,24.47786,2.0,55
27.573872,25.668627,27.673634,27.45316,26.979815,27.15038,27.41188,5.0,56
25.61751,22.60641,24.782478,26.217901,24.270798,25.441175,24.228354,4.0,57
25.6722,23.272917,25.383018,26.40525,25.689646,25.982954,24.803627,5.0,58
26.584845,24.858307,26.303017,26.951887,26.859646,26.907446,25.165232,5.0,59
26.703787,24.98854,26.797762,28.222185,26.783724,26.901724,26.062872,4.0,60
27.372246,26.807295,27.144997,27.25132,29.009455,28.463774,25.285309,5.0,61
25.431131,23.962738,25.957146,26.307024,25.628155,25.466263,25.335308,5.0,62
26.594795,25.561361,26.364182,26.71835,27.833315,26.472279,24.69174,1.0,63
27.482584,26.296516,28.127815,28.13126,28.06721,27.102333,26.95322,0.0,64
28.033882,27.354258,28.20855,28.45946,29.142668,28.415682,25.943737,5.0,65
25.342735,23.544422,25.306831,26.08691,25.35121,25.45863,24.785604,0.0,66
29.164232,28.585318,28.798359,28.265795,29.402325,28.782421,26.568405,3.0,67
24.931644,22.530386,25.276468,26.017466,24.450333,26.088531,24.758026,0.0,68
26.892075,25.480398,27.289387,27.121975,28.344553,27.966873,26.398512,5.0,69
25.328226,24.570734,25.737183,25.480576,25.849138,25.867846,24.96104,5.0,70
26.517975,24.736872,26.384329,27.08637,26.536953,26.918968,25.75268,2.0,71
29.953793,29.297024,30.378698,29.285444,29.562649,28.800808,28.49544,0.0,72
29.218828,27.943506,28.985607,28.725758,30.92039,29.387337,27.999878,5.0,73
27.131947,24.586931,26.007984,26.736128,27.0988,27.206348,25.190874,5.0,74
27.059662,25.142199,27.050514,27.54962,27.51432,26.580225,25.677462,5.0,75
26.841335,25.008718,26.364454,26.7342,27.428513,28.334496,26.198862,5.0,76
31.324245,30.100653,30.568796,29.965328,32.0286,31.637537,29.32558,5.0,77
28.126457,26.983496,27.633595,27.782576,28.240572,28.946486,27.258545,5.0,78
28.348358,27.647831,28.540161,27.771406,29.991558,28.131342,26.388826,5.0,79
26.640135,24.65564,26.462942,27.057648,26.412323,27.182306,26.239374,5.0,80
27.60108,26.330933,27.642618,28.04502,28.14419,28.003256,27.039783,5.0,81
29.330095,27.967644,29.647118,28.194376,30.347445,28.423761,28.038864,5.0,82
25.320393,24.451311,24.962349,26.761736,27.332413,27.86456,25.542732,5.0,83
28.325548,27.559988,28.996723,27.605875,29.150164,28.687912,28.131144,5.0,84
28.793804,27.377455,28.612349,28.412395,27.430996,27.455347,28.511673,5.0,85
26.508488,25.286486,25.889688,27.022068,27.80325,28.178762,25.62858,4.0,86
23.418102,19.789442,22.896322,23.857843,21.682352,23.1314,21.555109,2.0,87
27.759796,27.98657,28.599545,27.739681,31.396357,27.534117,25.995192,5.0,88
26.036354,24.755606,26.180798,27.026953,26.379427,26.449978,25.041529,2.0,89
28.386892,27.370834,28.159168,27.933954,28.39043,28.072514,26.240347,4.0,90
27.900364,26.197123,27.329779,27.599522,27.88306,27.790342,25.791323,0.0,91
27.820177,25.876614,27.565893,27.811354,27.61569,28.08872,27.309849,5.0,92
30.309324,29.707973,29.91785,29.003824,29.053633,28.096846,28.24838,1.0,93
25.049238,22.516165,24.716042,26.455076,24.806389,26.078829,25.316818,5.0,94
29.376268,28.608063,29.302826,28.552937,31.351372,29.219826,26.831987,4.0,95
25.953136,24.12741,25.882814,26.233732,26.616055,26.990124,25.733616,5.0,96
28.954306,27.854338,28.207108,28.255796,30.402332,30.0902,26.426863,5.0,97
29.351168,29.106834,28.950125,28.131544,30.527496,29.582575,28.061592,6.0,98
26.997934,25.858639,27.422066,26.961096,27.051537,27.251562,26.545797,5.0,99
25.966658,23.447609,25.57661,26.412489,25.587873,26.903622,26.394468,2.0,100
26.845617,24.986742,27.545755,27.631943,27.519894,26.629189,25.81886,5.0,101
28.349787,26.530527,27.856901,27.732103,29.520433,28.382944,26.50546,5.0,102
28.694412,26.69641,27.326303,27.817415,28.118189,30.074375,27.478363,5.0,103
29.471552,29.411064,29.354975,28.437819,30.913338,30.056398,27.487858,1.0,104
24.134659,23.665125,25.497215,26.327549,27.173197,24.857466,23.41392,5.0,105
26.684113,24.775845,26.669764,27.338072,26.14165,26.87371,26.563942,5.0,106
28.626709,26.887383,28.265356,27.801414,28.588774,29.540854,28.156313,5.0,107
26.85086,25.616556,27.009623,27.528074,27.687801,27.176537,25.777658,4.0,108
23.307804,20.884666,23.038073,25.155838,23.409395,24.637691,23.598288,5.0,109
23.22089,21.88719,22.832142,22.973158,22.288067,23.885586,22.549171,2.0,110
28.354652,26.031683,28.033503,29.541235,29.581093,28.736015,26.345764,2.0,111
28.177675,27.664139,28.616568,27.067436,27.99455,27.977514,27.366364,5.0,112
25.321339,22.495607,24.571712,26.148775,24.607033,25.802162,25.530622,5.0,113
27.308311,25.363968,27.235573,27.30658,27.000027,26.921402,25.981684,4.0,114
24.80062,22.915543,25.000685,26.451319,25.389652,25.56003,23.431463,5.0,115
29.345118,28.743147,29.036005,28.453451,29.524591,29.651209,27.473509,2.0,116
26.510101,25.135328,26.641436,26.70873,26.339802,26.553844,25.88729,5.0,117
26.591488,25.5195,26.731483,26.529043,26.284067,26.921778,26.013067,5.0,118
26.879217,25.193354,26.248377,26.878872,26.268925,26.922195,24.953873,5.0,119
25.644213,23.215168,25.049864,26.229967,25.119003,27.55661,26.466467,5.0,120
24.22639,22.253632,24.933453,25.715433,24.95531,24.36701,23.76587,2.0,121
30.756538,28.866394,29.74683,29.581009,31.462517,31.778755,28.92496,5.0,122
29.430761,27.469086,28.553997,27.869946,30.818167,29.181355,26.711817,5.0,123
27.168964,26.148285,27.069046,27.842766,29.22713,28.119322,25.663235,4.0,124
25.125904,23.420176,25.52272,26.157223,24.72001,25.269632,24.499928,4.0,125
27.581127,25.309082,27.904217,27.51854,28.279257,27.896322,26.878935,5.0,126
28.062685,26.840483,28.067894,27.428316,27.903522,27.748602,26.892458,5.0,127
28.121807,27.062609,28.558983,28.291967,28.903723,28.241043,27.116968,5.0,128
26.671825,25.08835,27.07222,27.425253,27.293446,26.582718,26.425968,5.0,129
25.761086,24.624891,25.841125,26.547688,26.75057,26.190315,25.218193,3.0,130
27.134892,24.104729,26.115437,26.438719,26.703163,26.813078,26.443335,5.0,131
25.670897,23.412024,24.93159,26.732069,26.822987,26.666447,24.933577,4.0,132
27.193586,24.91069,26.75463,27.415695,29.258877,27.827497,25.862843,5.0,133
