飞机,汽车,鸟,猫,鹿,狗,青蛙,马,船,卡车,target-0,target-1,target-2,target-3,target-4,target-5,target-6,target-7,target-8,target-9,instance_id
-7.804984,-8.900238,-6.313097,-3.850007,-6.6343594,-5.515486,-6.2552156,-6.783226,-7.8581533,-8.565981,0.0,0.019607844,0.019607844,0.9411765,0.0,0.019607844,0.0,0.0,0.0,0.0,0
-8.380115,-9.014732,-10.466806,-11.349985,-11.874574,-11.65913,-12.072927,-10.886532,-2.4703941,-9.724785,0.0,0.0,0.019607844,0.0,0.0,0.0,0.0,0.0,0.98039216,0.0,1
-6.8394957,-5.3350067,-8.924213,-9.376562,-9.773251,-9.28298,-10.362181,-9.046343,-2.6633368,-5.717313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
-8.103636,-10.546091,-7.91912,-10.554978,-10.315992,-10.10652,-10.1942835,-9.299815,-10.197821,-11.083002,0.74509805,0.0,0.15686275,0.0,0.019607844,0.0,0.019607844,0.0,0.039215688,0.019607844,3
-11.134996,-11.539329,-7.2422657,-8.90793,-9.494823,-9.822334,-0.27194786,-9.92626,-11.680976,-13.022578,0.0,0.0,0.019607844,0.0,0.0,0.0,0.98039216,0.0,0.0,0.0,4
-9.868848,-9.807273,-6.5987864,-5.5652733,-7.2897224,-5.5968733,-3.2309542,-8.203109,-10.6881275,-10.004219,0.0,0.0,0.0,0.1509434,0.0,0.0,0.8490566,0.0,0.0,0.0,5
-8.219602,-3.3398905,-8.734577,-11.400663,-11.43405,-10.128979,-10.935398,-11.3924465,-9.381369,-7.688799,0.0,0.9807692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01923077,6
-9.136005,-9.463468,-5.9625015,-4.298382,-7.9521933,-5.506237,1.2905464,-6.8196573,-8.951273,-9.899731,0.0,0.0,0.02,0.0,0.0,0.0,0.98,0.0,0.0,0.0,7
-8.784612,-9.757791,-6.702838,-0.82821465,-6.244298,-4.8481846,-6.3407288,-6.9897594,-7.8660603,-9.027128,0.0,0.0,0.0,0.98039216,0.0,0.019607844,0.0,0.0,0.0,0.0,8
-10.766071,-3.7866983,-11.300413,-12.214115,-10.939781,-10.718077,-11.799786,-9.739222,-9.718886,-5.0624657,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,9
-1.6945763,-9.715482,-5.59186,-7.6787233,-5.731078,-6.061039,-8.207501,-7.7457657,-8.207193,-9.621954,0.98214287,0.017857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
-10.17305,-6.630122,-12.348522,-13.662723,-11.765083,-12.698538,-13.858511,-11.348305,-10.703707,-2.3173447,0.0,0.019607844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98039216,11
-11.059217,-12.321828,-9.35169,-8.181677,-9.792969,-3.9118023,-9.294121,-9.248899,-12.094,-12.785716,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12
-10.9199505,-9.646196,-8.0428,-9.139553,-7.8057413,-8.349679,-11.356812,-1.2093077,-10.782219,-9.647171,0.0,0.0,0.0,0.0,0.019607844,0.0,0.0,0.98039216,0.0,0.0,13
-9.717224,-7.0640163,-11.2318535,-11.549704,-12.519176,-11.464288,-12.330768,-11.55398,-9.280882,-1.7229881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
-8.609601,-10.36429,-10.057237,-10.933904,-10.684113,-10.930126,-11.2192545,-10.96401,-2.043869,-9.871639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,15
-10.246069,-11.471618,-9.756179,-8.28644,-10.394925,-3.233797,-10.000321,-9.917801,-11.15897,-11.544537,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16
-10.850102,-10.464205,-9.565083,-10.091063,-8.461069,-9.071386,-11.3938875,-2.6762762,-10.217308,-9.457233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17
-7.328659,-8.577338,-7.504035,-9.301548,-7.906599,-8.693719,-11.252567,-7.5401564,0.5999794,-7.8765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18
-8.900684,-9.444634,-4.5842457,-6.506797,-7.0083275,-6.698285,-0.30248833,-7.1806803,-9.131246,-9.915596,0.0,0.0,0.0,0.020408163,0.0,0.0,0.97959185,0.0,0.0,0.0,19
