actinic keratoses and intraepithelial carcinoma,basal cell carcinoma,benign keratosis-like lesions,dermatofibroma,melanoma,melanocytic nevi,vascular lesions,target-0,instance_id
-9.806217,-7.8981056,-8.566101,-7.9633827,-7.6986876,-8.233868,-8.407039,0.0,0
-10.693832,-7.995141,-9.457417,-8.037342,-8.385887,-8.451853,-8.777117,5.0,1
-11.82284,-8.636979,-10.36809,-8.48289,-8.23126,-9.143045,-9.286663,5.0,2
-10.627917,-8.381858,-9.617227,-8.46685,-8.566308,-8.559767,-9.283828,5.0,3
-11.285393,-8.15994,-9.563707,-8.040318,-8.077099,-8.304895,-9.009426,4.0,4
-12.667028,-8.427998,-10.458456,-8.318111,-8.728918,-8.776432,-9.584426,5.0,5
-11.916714,-9.196703,-10.250602,-9.043091,-8.854875,-9.862773,-9.697446,4.0,6
-11.510813,-9.202794,-10.723914,-9.017973,-8.689426,-9.818705,-9.374481,5.0,7
-11.8940735,-8.331343,-9.758291,-8.29794,-8.146904,-8.529766,-9.2943325,5.0,8
-12.239752,-9.049395,-10.43367,-8.956167,-8.74699,-9.51489,-9.7285595,5.0,9
-12.161402,-8.989579,-9.990105,-9.021444,-8.6460085,-9.944166,-9.665907,2.0,10
-12.30629,-8.946435,-10.8522415,-9.083218,-9.348602,-9.485212,-10.000959,5.0,11
-10.229573,-8.138719,-8.955807,-8.351182,-7.784958,-8.123283,-8.7202215,1.0,12
-11.96726,-9.5060835,-11.162638,-9.5048275,-9.239143,-9.95835,-10.320856,5.0,13
-11.321077,-7.254347,-8.387543,-7.2100677,-7.55698,-7.59984,-8.001094,4.0,14
-11.17498,-8.560682,-9.7297,-8.533788,-8.462243,-8.757185,-9.177034,5.0,15
-11.187547,-8.846827,-9.753336,-8.680978,-8.466683,-8.951429,-9.048422,2.0,16
-11.172104,-8.296362,-10.544683,-8.326773,-8.497098,-8.952881,-9.11965,5.0,17
-11.696871,-8.905846,-10.393063,-8.956379,-8.820608,-9.245681,-10.044424,5.0,18
-10.738993,-8.45681,-9.379101,-8.633267,-8.185775,-8.537552,-9.252632,5.0,19
-10.31386,-9.085235,-10.327538,-8.892182,-8.612543,-9.62397,-9.160711,5.0,20
-10.266706,-8.443165,-9.627466,-8.371232,-8.351714,-8.959459,-8.928768,5.0,21
-11.617923,-8.565472,-9.848149,-8.566433,-8.317637,-8.976746,-9.294811,5.0,22
-10.8084545,-8.180673,-9.180664,-8.503481,-8.033763,-8.206586,-9.010363,6.0,23
-11.072529,-8.339989,-8.890974,-8.3185425,-7.9052334,-8.3144245,-8.622415,2.0,24
-10.995522,-9.325243,-9.963613,-8.942453,-8.920854,-8.764249,-9.37663,5.0,25
-12.493253,-9.1143875,-10.295992,-8.973811,-8.674227,-9.207673,-10.03957,5.0,26
-10.253143,-8.30294,-9.228322,-8.417974,-7.8367205,-8.5327215,-8.782745,5.0,27
-12.274803,-9.358496,-10.57767,-9.060091,-8.675583,-9.497442,-9.747787,5.0,28
-10.293606,-8.509198,-9.184793,-8.625309,-8.284654,-8.755924,-8.956366,5.0,29
-10.828121,-8.998688,-10.033382,-8.857823,-8.294936,-9.470497,-9.305757,2.0,30
-11.694355,-10.147572,-10.95241,-9.892818,-9.628616,-10.725992,-10.367987,4.0,31
-11.520861,-8.520422,-10.058734,-8.514197,-8.099065,-9.076965,-9.167919,5.0,32
-11.364311,-8.263234,-9.330612,-8.331707,-8.155037,-8.557917,-9.016817,1.0,33
-11.539234,-8.633251,-9.519093,-8.6411495,-8.363339,-8.672354,-9.6257925,5.0,34
-11.730892,-7.3091784,-8.059191,-7.272998,-6.9973955,-7.301982,-7.9512463,4.0,35
-11.848822,-8.231356,-9.34766,-8.203386,-8.31324,-9.0098095,-8.980083,5.0,36
-10.658356,-8.092801,-9.272409,-8.469906,-8.018166,-8.509096,-8.921494,4.0,37
-11.534283,-8.381064,-9.690325,-8.610958,-8.2955475,-8.593465,-9.243299,5.0,38
-10.872736,-9.019011,-10.1264305,-9.055346,-8.689088,-9.7779045,-9.6444645,4.0,39
-11.947357,-9.998971,-10.965322,-10.034335,-9.464615,-10.4630785,-10.476696,5.0,40
-13.964777,-8.824709,-10.587111,-8.629181,-8.721834,-9.669484,-10.459269,5.0,41
-12.799355,-8.377649,-10.025654,-8.360567,-8.277291,-8.95171,-9.686874,5.0,42
-10.296497,-8.012935,-9.105192,-7.9074583,-7.7308455,-8.184241,-8.59868,2.0,43
-9.097265,-7.4329605,-8.231949,-7.6869135,-7.647586,-7.595832,-7.980013,2.0,44
-11.737679,-8.609395,-10.495758,-8.573842,-8.206977,-9.209732,-9.494612,5.0,45
-11.115717,-8.304185,-9.745292,-8.32057,-8.322772,-8.55217,-9.133746,5.0,46
-11.90653,-8.940858,-10.597855,-8.607689,-8.692375,-9.844272,-9.32349,2.0,47
-13.402588,-8.683313,-10.361702,-8.709159,-8.839272,-9.5727005,-10.232605,5.0,48
-11.26027,-8.3127,-9.82848,-8.501369,-8.178008,-8.962904,-9.343544,6.0,49
-10.1022415,-7.9964657,-8.510337,-7.702983,-7.753042,-7.7317333,-8.276738,4.0,50
-10.2214365,-8.562798,-8.987322,-8.587501,-8.198645,-8.688458,-8.884012,5.0,51
-11.436802,-8.930664,-10.021769,-9.070904,-8.897715,-9.282328,-9.741825,5.0,52
-11.41024,-7.9274817,-8.314242,-7.9014015,-7.429988,-7.948023,-7.908265,5.0,53
-11.843283,-9.433273,-10.7571125,-9.120638,-9.019777,-9.713388,-9.9037695,5.0,54
-10.294282,-8.3328705,-8.814934,-8.563584,-8.177338,-8.7460985,-8.919737,2.0,55
-12.329969,-9.420188,-10.614582,-9.316441,-9.092524,-9.59914,-10.400393,5.0,56
-10.29162,-8.358972,-9.32716,-8.434755,-7.927932,-8.841925,-8.828226,4.0,57
-11.313515,-9.111477,-10.126176,-9.219633,-8.598057,-9.858804,-9.730962,5.0,58
-10.951233,-8.301774,-9.869482,-8.553396,-8.259528,-8.880753,-9.190758,5.0,59
-10.071839,-8.179859,-9.06755,-8.358998,-8.0798645,-8.52633,-8.717582,4.0,60
-11.481186,-8.780654,-9.764437,-8.630327,-8.53296,-9.228731,-9.333366,5.0,61
-11.0621605,-8.667883,-9.824974,-8.679637,-8.5797415,-9.142254,-9.126011,5.0,62
-10.583475,-8.729459,-9.494843,-8.685724,-8.131222,-8.458416,-8.867189,1.0,63
-10.49821,-8.24694,-9.094685,-8.660852,-8.254894,-8.710567,-9.155674,0.0,64
-11.45576,-9.263359,-10.014836,-9.166712,-8.858415,-9.309213,-9.697561,5.0,65
-10.8991165,-8.736839,-10.173632,-8.804092,-8.70378,-9.276524,-9.203574,0.0,66
-11.221043,-8.096723,-9.109837,-8.465098,-8.603954,-8.170945,-9.069889,3.0,67
-11.173424,-8.903553,-9.801035,-8.999445,-8.354306,-9.424721,-9.800545,0.0,68
-13.834568,-8.574906,-10.459871,-8.47827,-8.932379,-9.239583,-10.395561,5.0,69
-12.106613,-9.874905,-11.489421,-9.443111,-9.269367,-10.078838,-10.10405,5.0,70
-10.977304,-8.551748,-9.388075,-8.457535,-8.168506,-8.947156,-9.222309,2.0,71
-11.5752125,-8.67667,-10.042124,-8.798712,-8.727639,-9.179799,-9.68304,0.0,72
-11.8841715,-8.461355,-9.548985,-8.64763,-8.248838,-8.418345,-9.43426,5.0,73
