airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,target-0,target-1,target-2,target-3,target-4,target-5,target-6,target-7,target-8,target-9,instance_id
-12.414624,-13.794324,-9.756321,-3.3363457,-12.816752,-6.71527,-9.810342,-12.386153,-12.75453,-13.611146,0.0,0.019607844,0.019607844,0.9411765,0.0,0.019607844,0.0,0.0,0.0,0.0,0
-11.371207,-11.658613,-13.347081,-13.6896515,-16.710157,-14.267919,-14.531768,-14.631217,-3.7775517,-13.079504,0.0,0.0,0.019607844,0.0,0.0,0.0,0.0,0.0,0.98039216,0.0,1
-8.498203,-7.586444,-12.675634,-11.808757,-14.927673,-12.53395,-13.100871,-12.545943,-2.6662169,-9.720611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
-10.09518,-13.419251,-8.596101,-13.308386,-12.831225,-11.636333,-11.530692,-11.804101,-9.851143,-14.651347,0.74509805,0.0,0.15686275,0.0,0.019607844,0.0,0.019607844,0.0,0.039215688,0.019607844,3
-18.105927,-14.556471,-9.272699,-11.607903,-13.924911,-11.511108,-0.87399006,-12.681565,-15.343411,-16.37796,0.0,0.0,0.019607844,0.0,0.0,0.0,0.98039216,0.0,0.0,0.0,4
-15.430244,-14.024235,-8.22567,-8.261885,-10.822361,-8.115793,-1.0642653,-12.409136,-15.231242,-14.440596,0.0,0.0,0.0,0.1509434,0.0,0.0,0.8490566,0.0,0.0,0.0,5
-12.210648,-3.1623688,-11.195213,-12.949696,-14.675768,-11.425267,-14.074778,-15.073049,-14.544468,-10.888901,0.0,0.9807692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01923077,6
-14.705422,-15.0617895,-8.593184,-8.849062,-12.934207,-7.7390113,-0.9722061,-10.003724,-12.997496,-14.345956,0.0,0.0,0.02,0.0,0.0,0.0,0.98,0.0,0.0,0.0,7
-13.835165,-16.724884,-9.104654,-2.250905,-12.050171,-7.7587004,-9.851646,-11.78652,-13.876312,-15.660479,0.0,0.0,0.0,0.98039216,0.0,0.019607844,0.0,0.0,0.0,0.0,8
-12.831081,-4.0451174,-13.247398,-12.721118,-14.324701,-11.720476,-14.051505,-12.597916,-13.05884,-5.169317,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,9
-6.6922097,-14.742548,-8.565495,-9.176701,-10.99416,-5.5959573,-11.337058,-10.4652195,-11.809807,-15.240425,0.98214287,0.017857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
-11.999509,-7.254693,-13.656193,-12.894223,-17.200502,-12.468288,-15.463414,-16.503561,-12.76914,-2.7370338,0.0,0.019607844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98039216,11
-14.0686035,-15.440288,-9.7043705,-5.919024,-9.304815,-3.0527334,-8.463903,-9.298754,-15.0762205,-14.325106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12
-13.812362,-14.17404,-9.02795,-9.4538555,-11.22975,-8.619621,-12.178672,-1.0299025,-13.645984,-14.64222,0.0,0.0,0.0,0.0,0.019607844,0.0,0.0,0.98039216,0.0,0.0,13
-13.079327,-7.6686816,-15.223497,-13.038082,-18.027874,-12.286034,-14.0794735,-16.521446,-11.141391,-1.272193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
-8.685699,-13.212979,-9.017284,-11.782918,-10.713285,-10.316973,-9.861652,-10.373507,-4.7340937,-12.943711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,15
