actinic keratoses and intraepithelial carcinoma,basal cell carcinoma,benign keratosis-like lesions,dermatofibroma,melanoma,melanocytic nevi,vascular lesions,target-0,instance_id
-10.715218,-10.084064,-11.453443,-9.520179,-11.030712,-11.916518,-12.117558,0.0,0
-8.748682,-6.008935,-8.435026,-6.1200423,-8.21051,-9.471092,-8.007176,5.0,1
-8.906319,-5.0393505,-8.393911,-3.5526543,-6.1196833,-8.339026,-7.429793,5.0,2
-10.390085,-8.124348,-9.740851,-8.256865,-9.5179825,-9.715262,-9.699385,5.0,3
-8.323407,-5.0033245,-7.228819,-5.1298027,-3.4566612,-4.6648083,-9.959024,4.0,4
-6.4995823,-2.7060328,-5.0767636,-2.6732388,-0.7701807,-2.321702,-8.418194,5.0,5
-10.430012,-8.968894,-11.042402,-9.781988,-8.211748,-7.603555,-11.99904,4.0,6
-10.939124,-8.098411,-11.267441,-8.533474,-10.574638,-12.19878,-9.986919,5.0,7
-6.270797,-3.9714003,-5.7336864,-3.9452858,-1.793807,-3.4177217,-9.469551,5.0,8
-9.267855,-5.7316885,-8.885805,-5.9603233,-5.2132425,-8.358156,-7.922604,5.0,9
-10.260174,-9.428631,-10.159271,-7.869877,-9.552827,-8.267458,-11.85415,2.0,10
-10.553262,-8.11908,-10.229883,-6.0016418,-8.824327,-10.514055,-10.582013,5.0,11
-9.770283,-9.191204,-10.586842,-8.982009,-11.097111,-13.042786,-8.646997,1.0,12
-8.606228,-4.2730217,-7.8062086,-5.476217,-6.974618,-9.188456,-5.681506,5.0,13
-8.016457,-6.2462797,-7.5037584,-5.193777,-2.2895126,-4.354335,-10.078417,4.0,14
-8.29526,-6.0925527,-10.0649395,-7.0201283,-4.5828876,-8.468142,-8.115847,5.0,15
-7.3651752,-5.6689835,-7.6577144,-5.228608,-4.664651,-4.823633,-11.08272,2.0,16
-7.9717135,-6.726285,-6.3369846,-5.38589,-3.2329273,-4.329504,-11.848853,5.0,17
-10.078524,-7.2454934,-9.820375,-5.838393,-9.137154,-11.024052,-9.170603,5.0,18
-11.244055,-9.590675,-12.317111,-10.041362,-10.463007,-12.837023,-9.403989,5.0,19
-11.085379,-9.487173,-11.454621,-8.721732,-11.844998,-13.459714,-10.499083,5.0,20
-10.186494,-8.9531975,-10.1179695,-7.660398,-9.63309,-9.61943,-10.66264,5.0,21
-8.380706,-5.8454227,-7.6326075,-4.668832,-7.7743626,-9.527952,-7.805355,5.0,22
-6.172633,-2.6984854,-5.610433,-2.9110966,-5.4901576,-7.321304,-4.806323,6.0,23
-10.854197,-10.400741,-11.187971,-10.436741,-9.143807,-10.481483,-13.049122,2.0,24
-9.017337,-6.1699896,-8.69533,-7.7975016,-5.4993668,-7.809445,-9.688751,5.0,25
-10.84114,-6.946071,-10.15606,-6.8831406,-8.6651535,-11.00036,-8.215141,5.0,26
-13.565344,-14.798771,-13.991616,-13.356096,-11.537621,-11.815628,-15.613239,5.0,27
-10.580149,-8.16792,-10.636581,-7.365373,-8.837362,-9.211265,-11.261122,5.0,28
-10.703615,-9.066328,-10.863087,-8.1765995,-10.234289,-12.096885,-10.761628,5.0,29
-9.704566,-8.446196,-10.958292,-7.60908,-9.273693,-10.50301,-11.939451,2.0,30
-10.13739,-9.099733,-9.033438,-7.4424753,-8.917655,-5.7322373,-11.263267,4.0,31
-8.6154,-4.6242123,-8.235669,-4.454156,-5.45818,-9.450045,-7.7372003,5.0,32
-8.622471,-5.563371,-7.486961,-3.9905338,-7.41819,-8.070721,-9.177556,1.0,33
-8.588963,-5.3239193,-7.9750776,-5.6552343,-6.1359787,-8.32402,-7.3992696,5.0,34
-8.255943,-5.7866917,-9.055846,-7.0500236,-6.0632396,-8.084732,-8.932782,4.0,35
-8.71664,-7.113198,-9.568407,-6.0456696,-3.4279003,-5.0261145,-11.1168375,5.0,36
-7.567691,-6.4919844,-7.6644287,-7.060095,-6.187019,-5.842446,-11.547167,4.0,37
-8.869234,-6.9490347,-8.575088,-7.938907,-6.229376,-7.519188,-11.929399,5.0,38
-10.068512,-9.380631,-10.307331,-8.722425,-10.877265,-10.253526,-10.795352,4.0,39
-11.393775,-9.492139,-11.455158,-9.034603,-11.419419,-9.3198185,-12.857258,5.0,40
